date,°Å·¡·®
2003-01-01,
2003-01-02,"74,286"
2003-01-03,"100,575"
2003-01-04,
2003-01-05,
2003-01-06,"72,180"
2003-01-07,"69,012"
2003-01-08,"60,487"
2003-01-09,"62,718"
2003-01-10,"70,071"
2003-01-11,
2003-01-12,
2003-01-13,"84,785"
2003-01-14,"71,286"
2003-01-15,"58,228"
2003-01-16,"48,426"
2003-01-17,"64,039"
2003-01-18,
2003-01-19,
2003-01-20,"48,083"
2003-01-21,"47,096"
2003-01-22,"52,528"
2003-01-23,"50,765"
2003-01-24,"44,464"
2003-01-25,
2003-01-26,
2003-01-27,"38,423"
2003-01-28,"34,521"
2003-01-29,"56,275"
2003-01-30,"51,075"
2003-01-31,
2003-02-01,
2003-02-02,
2003-02-03,"42,527"
2003-02-04,"70,918"
2003-02-05,"75,585"
2003-02-06,"51,987"
2003-02-07,"46,670"
2003-02-08,
2003-02-09,
2003-02-10,"45,906"
2003-02-11,"56,328"
2003-02-12,"35,361"
2003-02-13,"40,203"
2003-02-14,"53,385"
2003-02-15,
2003-02-16,
2003-02-17,"64,804"
2003-02-18,"54,723"
2003-02-19,"53,101"
2003-02-20,"103,594"
2003-02-21,"79,892"
2003-02-22,
2003-02-23,
2003-02-24,"61,530"
2003-02-25,"52,494"
2003-02-26,"56,769"
2003-02-27,"56,268"
2003-02-28,"59,629"
2003-03-01,
2003-03-02,
2003-03-03,"60,561"
2003-03-04,"58,463"
2003-03-05,"76,403"
2003-03-06,"73,562"
2003-03-07,"63,505"
2003-03-08,
2003-03-09,
2003-03-10,"60,706"
2003-03-11,"65,788"
2003-03-12,"79,380"
2003-03-13,"67,969"
2003-03-14,"75,892"
2003-03-15,
2003-03-16,
2003-03-17,"64,010"
2003-03-18,"68,290"
2003-03-19,"61,559"
2003-03-20,"107,622"
2003-03-21,"82,245"
2003-03-22,
2003-03-23,
2003-03-24,"87,605"
2003-03-25,"88,206"
2003-03-26,"89,066"
2003-03-27,"60,457"
2003-03-28,"48,421"
2003-03-29,
2003-03-30,
2003-03-31,"54,505"
2003-04-01,"52,513"
2003-04-02,"63,960"
2003-04-03,"62,689"
2003-04-04,"55,050"
2003-04-05,
2003-04-06,
2003-04-07,"79,694"
2003-04-08,"86,143"
2003-04-09,"76,195"
2003-04-10,"74,140"
2003-04-11,"90,031"
2003-04-12,
2003-04-13,
2003-04-14,"71,957"
2003-04-15,"78,949"
2003-04-16,"89,467"
2003-04-17,"78,983"
2003-04-18,"83,991"
2003-04-19,
2003-04-20,
2003-04-21,"75,235"
2003-04-22,"77,318"
2003-04-23,"74,794"
2003-04-24,"69,237"
2003-04-25,"66,078"
2003-04-26,
2003-04-27,
2003-04-28,"46,720"
2003-04-29,"42,978"
2003-04-30,"45,215"
2003-05-01,
2003-05-02,"43,758"
2003-05-03,
2003-05-04,
2003-05-05,
2003-05-06,"57,075"
2003-05-07,"51,343"
2003-05-08,
2003-05-09,"58,822"
2003-05-10,
2003-05-11,
2003-05-12,"65,592"
2003-05-13,"61,446"
2003-05-14,"48,439"
2003-05-15,"63,467"
2003-05-16,"50,644"
2003-05-17,
2003-05-18,
2003-05-19,"35,045"
2003-05-20,"42,152"
2003-05-21,"44,231"
2003-05-22,"44,900"
2003-05-23,"44,117"
2003-05-24,
2003-05-25,
2003-05-26,"48,385"
2003-05-27,"47,004"
2003-05-28,"60,393"
2003-05-29,"45,445"
2003-05-30,"47,015"
2003-05-31,
2003-06-01,
2003-06-02,"51,497"
2003-06-03,"49,456"
2003-06-04,"44,221"
2003-06-05,"52,156"
2003-06-06,
2003-06-07,
2003-06-08,
2003-06-09,"35,140"
2003-06-10,"36,133"
2003-06-11,"49,748"
2003-06-12,"61,195"
2003-06-13,"50,305"
2003-06-14,
2003-06-15,
2003-06-16,"43,273"
2003-06-17,"66,165"
2003-06-18,"58,410"
2003-06-19,"58,842"
2003-06-20,"53,452"
2003-06-21,
2003-06-22,
2003-06-23,"47,199"
2003-06-24,"45,136"
2003-06-25,"50,521"
2003-06-26,"46,192"
2003-06-27,"48,611"
2003-06-28,
2003-06-29,
2003-06-30,"32,073"
2003-07-01,"34,451"
2003-07-02,"48,262"
2003-07-03,"54,433"
2003-07-04,"44,280"
2003-07-05,
2003-07-06,
2003-07-07,"43,945"
2003-07-08,"56,861"
2003-07-09,"54,385"
2003-07-10,"57,787"
2003-07-11,"56,048"
2003-07-12,
2003-07-13,
2003-07-14,"55,954"
2003-07-15,"71,979"
2003-07-16,"58,935"
2003-07-17,
2003-07-18,"54,627"
2003-07-19,
2003-07-20,
2003-07-21,"66,257"
2003-07-22,"70,748"
2003-07-23,"57,157"
2003-07-24,"73,273"
2003-07-25,"48,904"
2003-07-26,
2003-07-27,
2003-07-28,"46,694"
2003-07-29,"56,686"
2003-07-30,"50,218"
2003-07-31,"38,889"
2003-08-01,"45,700"
2003-08-02,
2003-08-03,
2003-08-04,"43,941"
2003-08-05,"48,103"
2003-08-06,"46,489"
2003-08-07,"41,224"
2003-08-08,"41,831"
2003-08-09,
2003-08-10,
2003-08-11,"39,868"
2003-08-12,"36,611"
2003-08-13,"40,792"
2003-08-14,"48,291"
2003-08-15,
2003-08-16,
2003-08-17,
2003-08-18,"49,836"
2003-08-19,"61,497"
2003-08-20,"49,797"
2003-08-21,"53,441"
2003-08-22,"50,664"
2003-08-23,
2003-08-24,
2003-08-25,"41,963"
2003-08-26,"42,688"
2003-08-27,"49,701"
2003-08-28,"46,104"
2003-08-29,"43,125"
2003-08-30,
2003-08-31,
2003-09-01,"37,054"
2003-09-02,"49,304"
2003-09-03,"42,495"
2003-09-04,"40,701"
2003-09-05,"37,678"
2003-09-06,
2003-09-07,
2003-09-08,"34,338"
2003-09-09,"40,845"
2003-09-10,
2003-09-11,
2003-09-12,
2003-09-13,
2003-09-14,
2003-09-15,"41,124"
2003-09-16,"47,945"
2003-09-17,"46,980"
2003-09-18,"41,154"
2003-09-19,"44,302"
2003-09-20,
2003-09-21,
