,기간자금설정,기간자금해지,증감
2021-04-01,"70,489","36,620","33,869"
2021-03-31,"71,892","149,546","-77,654"
2021-03-30,"74,538","107,802","-33,264"
2021-03-29,"61,351","68,283","-6,932"
2021-03-26,"54,909","68,457","-13,548"
2021-03-25,"29,747","52,419","-22,671"
2021-03-24,"51,895","53,767","-1,873"
2021-03-23,"37,121","41,095","-3,974"
2021-03-22,"44,804","49,596","-4,792"
2021-03-19,"43,531","52,154","-8,623"
2021-03-18,"40,299","41,298",-999
2021-03-17,"77,837","68,386","9,451"
2021-03-16,"115,071","35,842","79,229"
2021-03-15,"87,965","43,235","44,731"
2021-03-12,"60,292","35,679","24,613"
2021-03-11,"55,843","62,875","-7,032"
2021-03-10,"30,781","67,243","-36,462"
2021-03-09,"47,121","104,434","-57,313"
2021-03-08,"30,305","47,185","-16,879"
2021-03-05,"37,195","28,693","8,501"
2021-03-04,"95,223","42,363","52,860"
2021-03-03,"92,735","48,994","43,741"
2021-03-02,"66,616","86,994","-20,378"
2021-02-26,"50,522","103,415","-52,893"
2021-02-25,"42,899","76,079","-33,180"
2021-02-24,"36,440","44,742","-8,303"
2021-02-23,"42,236","38,117","4,119"
2021-02-22,"42,813","53,510","-10,697"
2021-02-19,"37,855","59,303","-21,448"
2021-02-18,"57,344","53,664","3,680"
2021-02-17,"52,671","38,035","14,635"
2021-02-16,"64,115","58,680","5,435"
2021-02-15,"38,743","53,660","-14,917"
2021-02-10,"47,814","75,275","-27,460"
2021-02-09,"56,594","79,479","-22,885"
2021-02-08,"63,115","57,359","5,757"
2021-02-05,"54,028","41,527","12,501"
2021-02-04,"44,823","36,615","8,209"
2021-02-03,"62,442","25,873","36,568"
2021-02-02,"90,820","45,929","44,891"
2021-02-01,"76,674","46,299","30,375"
2021-01-29,"64,838","86,587","-21,749"
2021-01-28,"107,793","43,161","64,632"
2021-01-27,"63,899","43,699","20,200"
2021-01-26,"56,838","45,991","10,847"
2021-01-25,"38,546","53,495","-14,949"
2021-01-22,"46,323","50,788","-4,465"
2021-01-21,"68,576","42,680","25,896"
2021-01-20,"35,050","43,053","-8,003"
2021-01-19,"54,138","53,600",538
2021-01-18,"60,952","49,228","11,724"
2021-01-15,"71,485","63,919","7,566"
2021-01-14,"65,254","52,220","13,034"
2021-01-13,"82,212","60,626","21,586"
