date,주식형ETF설정액,주식형ETF해지액,주식형ETF증감,ETF제외주식형설정,ETF제외주식형해지,ETF제외주식형증감,단기금융설정,단기금융해지,단기금융증감,파생상품설정,파생상품해지,파생상품증감
2021-04-02,630,510,120,3039,2408,-1926,"153,119","30,448","122,671",915,"1,664",-750
2021-04-01,332,464,-132,1009,677,916,"62,075","26,561","35,514","1,862","2,420",-558
2021-03-31,235,967,-732,2597,2363,-1283,"60,153","132,241","-72,088","1,050","2,325","-1,275"
2021-03-30,384,529,-145,2119,1735,-1148,"58,164","88,651","-30,487",660,"2,770","-2,110"
2021-03-29,563,383,180,1770,1207,-406,"53,213","61,000","-7,787","1,553","2,027",-475
2021-03-26,389,1090,-701,1927,1538,-1441,"42,381","62,802","-20,421","1,165","1,423",-258
2021-03-25,563,735,-172,1448,884,-477,"19,686","35,779","-16,093","1,709","1,607",102
2021-03-24,980,421,559,1880,899,1695,"35,819","34,616","1,203","1,163","1,503",-341
2021-03-23,569,1530,-961,5737,5168,-5750,"28,489","29,655","-1,166","1,581","1,533",48
2021-03-22,347,279,69,826,480,849,"36,554","39,401","-2,847","1,070","3,195","-2,125"
2021-03-19,308,540,-231,3011,2703,-2267,"33,129","42,927","-9,798","1,520","1,660",-140
2021-03-18,582,547,35,1924,1342,-102,"27,933","32,973","-5,041",721,"2,153","-1,432"
2021-03-17,357,445,-88,5366,5010,-4511,"68,423","57,329","11,093","1,271",916,355
2021-03-16,607,393,214,1034,427,534,"105,095","29,367","75,728",943,"2,573","-1,630"
2021-03-15,333,609,-276,2209,1876,-1316,"79,267","33,956","45,311","1,029","2,974","-1,944"
2021-03-12,347,351,-5,2332,1985,-1725,"53,333","27,719","25,614","1,706",749,957
2021-03-11,433,671,-238,1346,913,1019,"47,403","57,293","-9,890","1,234",624,610
2021-03-10,458,510,-52,1571,1113,-854,"20,874","59,516","-38,642","3,082",599,"2,483"
2021-03-09,519,391,127,2092,1573,-1148,"39,098","92,942","-53,844","1,596","1,370",227
2021-03-08,691,464,227,2718,2026,-1673,"21,199","39,135","-17,936","3,009","1,510","1,499"
2021-03-05,476,462,14,1318,842,963,"29,031","21,966","7,065",947,"1,849",-902
2021-03-04,561,549,12,1257,696,1437,"76,067","34,285","41,782",534,"3,150","-2,616"
2021-03-03,645,449,196,4527,3882,-2310,"78,752","36,924","41,828","2,206","1,934",272
2021-03-02,1175,7583,-6408,8410,7234,-11581,"53,950","70,561","-16,611","2,551","2,578",-27
2021-02-26,1153,709,444,1772,620,602,"28,809","92,640","-63,831","5,437","1,551","3,886"
2021-02-25,918,1497,-578,2387,1469,-1355,"27,735","65,251","-37,517","1,158","1,177",-19
2021-02-24,607,598,9,1638,1030,-248,"24,235","30,316","-6,082","2,287","3,630","-1,343"
2021-02-23,845,1115,-270,2522,1677,-20,"29,675","30,215",-540,"1,914","1,827",87
2021-02-22,877,1292,-415,3115,2237,-778,"29,748","45,017","-15,270","2,075",766,"1,309"
2021-02-19,801,575,226,8263,7462,-4602,"25,325","40,507","-15,183","2,458","1,727",732
2021-02-18,863,1036,-174,3651,2788,-2208,"47,464","44,027","3,437","2,069","1,678",391
2021-02-17,738,1330,-592,4093,3355,-3136,"42,165","27,502","14,663",967,"2,148","-1,181"
2021-02-16,841,1115,-273,2653,1812,-1171,"50,429","50,080",348,636,"2,422","-1,785"
2021-02-15,878,493,385,1662,783,694,"29,922","47,576","-17,654","1,927","1,549",377
2021-02-10,665,702,-37,2771,2106,1264,"31,662","63,913","-32,250",587,"2,884","-2,297"
2021-02-09,931,963,-32,3325,2394,504,"39,727","69,754","-30,026","1,301","2,745","-1,445"
2021-02-08,888,1038,-149,12381,11493,-9144,"44,068","39,586","4,483","2,624","1,307","1,318"
2021-02-05,1223,859,364,5005,3782,-3093,"40,376","30,226","10,150","1,659","1,640",19
2021-02-04,735,2008,-1274,6153,5417,-2102,"29,091","21,693","7,398",720,"2,408","-1,688"
2021-02-03,863,1101,-238,2710,1847,-577,"50,871","13,342","37,529","1,802","4,565","-2,763"
2021-02-02,925,976,-51,8861,7936,-5972,"72,429","30,700","41,729","3,427","2,134","1,293"
2021-02-01,1708,1614,93,5978,4270,10317,"44,351","33,865","10,487","4,338","2,239","2,099"
