date,환율,거래량,기관합계,기타법인,개인,외국인합계,투자자예탁금,외국인_시가총액,외국인 비중,기간자금설정,기간자금해지,증감,유가증권신용거래융자
2007-01-02,929.6,"14,430",-49479494305,0,30058872445,19420621860,"8,561,691","2,631,666",37.31,"27,941","41,180","-13,239","333,970"
2007-01-03,926,"19,080",-89720793350,0,145826577680,-56105784330,"8,918,052","2,579,421",37.24,"24,504","25,611","-1,108","335,226"
2007-01-04,926.1,"23,660",-139354057235,0,230080115165,-90726057930,"8,942,186","2,553,242",37.18,"24,670","25,024",-354,"336,194"
2007-01-05,931.2,"27,032",-184343344810,0,201882104850,-17538760040,"8,923,076","2,532,473",37.18,"17,931","19,785","-1,853","329,158"
2007-01-08,932.6,"17,414",89929510150,0,141833422150,-231762932300,"8,870,678","2,506,114",37.19,"20,819","18,014","2,805","327,918"
2007-01-09,937.3,"20,865",-24063906840,0,34310570315,-10246663475,"8,753,841","2,513,537",37.22,"22,274","17,706","4,567","327,713"
2007-01-10,937,"21,934",-132507135145,0,188277600165,-55770465020,"8,879,364","2,476,952",37.19,"20,711","22,204","-1,493","327,313"
2007-01-11,939.8,"20,740",-84994280920,0,112156074170,-27161793250,"8,797,900","2,494,192",37.2,"17,704","17,870",-165,"328,936"
2007-01-12,938.9,"20,935",-52121066840,0,-19708891210,71829958050,"8,658,988","2,542,949",37.28,"20,394","21,758","-1,364","328,963"
2007-01-15,940.5,"15,857",-272424708747,0,-54323933965,326748642712,"8,700,393","2,558,247",37.42,"19,443","25,797","-6,354","330,015"
2007-01-16,938.1,"16,764",90221499120,0,-38457425590,-51764073530,"8,611,930","2,560,013",37.48,"35,320","16,936","18,384","330,021"
2007-01-17,936.5,"20,069",-200643978955,0,33872909005,166771069950,"8,622,517","2,545,879",37.55,"16,848","15,631","1,217","324,966"
2007-01-18,937.1,"17,542",87825055775,0,-41700910125,-46124145650,"8,641,341","2,551,368",37.54,"18,352","24,010","-5,659","323,513"
2007-01-19,936.7,"21,691",-130089456390,0,34354300710,95735155680,"8,573,496","2,515,026",37.62,"16,139","20,954","-4,815","323,757"
2007-01-22,937.6,"18,575",74128329275,0,-37275039635,-36853289640,"8,652,673","2,523,773",37.66,"16,236","18,663","-2,427","322,117"
2007-01-23,938.7,"18,401",23990079735,0,-71352122605,47362042870,"8,764,622","2,530,462",37.76,"34,428","19,708","14,720","314,724"
2007-01-24,941.1,"18,871",74803897970,0,-122332606870,47528708900,"8,704,154","2,562,264",37.69,"15,497","20,000","-4,503","313,115"
2007-01-25,937.5,"15,301",8865260145,0,-84958394005,76093133860,"8,527,556","2,559,290",37.65,"18,875","28,958","-10,083","311,803"
2007-01-26,936.3,"14,953",56664164625,0,-465557490,-56198607135,"8,533,001","2,530,375",37.53,"28,694","33,228","-4,534","314,012"
2007-01-29,940,"13,322",-23665170845,0,79354809625,-55689638780,"8,654,433","2,517,836",37.58,"25,190","28,973","-3,783","312,500"
2007-01-30,940.4,"15,074",157996608830,0,-55740785655,-102255823175,"8,664,788","2,532,534",37.6,"26,464","19,618","6,846","311,034"
2007-01-31,940.9,"18,913",-94406249645,0,48439181470,45967068175,"8,535,821","2,518,800",37.67,"28,000","25,679","2,321","310,658"
2007-02-01,942,"16,339",238189312675,0,-245948204415,7758891740,"8,571,741","2,564,357",37.73,"20,514","15,394","5,120","308,012"
2007-02-02,938.1,"21,004",119149099565,0,-470648862645,351499763080,"8,337,621","2,631,439",37.88,"18,868","17,379","1,488","306,280"
2007-02-05,938.1,"17,846",-123266850315,0,-155038163805,278305014120,"8,417,164","2,636,059",37.84,"17,634","19,597","-1,963","301,610"
2007-02-06,936.6,"18,565",-78899729580,0,-33357969860,112257699440,"8,751,751","2,657,311",37.87,"16,017","18,357","-2,340","305,650"
2007-02-07,933,"18,871",-97305207898,0,-356910240,97662118138,"8,931,063","2,652,398",37.87,"12,421","12,717",-296,"314,333"
2007-02-08,932.2,"18,519",101980306520,0,105925432230,-207905738750,"8,999,996","2,638,352",37.74,"17,467","22,171","-4,704","336,641"
2007-02-09,935,"22,380",191807218325,0,-85701922625,-106105295700,"9,011,650","2,651,937",37.83,"17,020","34,135","-17,115","349,906"
2007-02-12,934.5,"20,320",-30975063650,0,152307201905,-121332138255,"8,999,008","2,621,033",37.75,"22,367","25,613","-3,246","363,732"
2007-02-13,936.6,"21,486",152974012055,0,33204494035,-186178506090,"9,111,547","2,621,966",37.66,"27,004","15,323","11,682","372,856"
2007-02-14,937.8,"20,616",224601079255,0,-211039508695,-13561570560,"8,935,708","2,654,826",37.66,"19,016","22,856","-3,840","381,309"
2007-02-15,938.1,"21,014",-159304072435,0,-92442893530,251746965965,"8,777,079","2,683,726",37.87,"20,199","22,572","-2,374","393,808"
2007-02-16,934.7,"20,193",-166921815565,0,-22393006745,189314822310,"8,814,831","2,704,015",37.99,"28,082","19,949","8,133","405,115"
2007-02-20,935.9,"21,538",-149385625815,0,4304480165,145081145650,"8,989,629","2,717,110",38.05,"18,829","24,785","-5,956","421,504"
2007-02-21,938.3,"25,824",-61640413060,0,-12751642290,74392055350,"9,157,838","2,716,629",38.08,"32,166","20,089","12,077","437,846"
2007-02-22,938.8,"30,404",196129170750,0,-223949389155,27820218405,"9,160,431","2,740,902",38.07,"14,228","16,025","-1,797","450,069"
2007-02-23,939.5,"28,220",-364217268859,0,-90252485570,454469754429,"9,121,800","2,751,045",38.11,"19,309","26,909","-7,600","461,738"
2007-02-26,938.6,"25,313",-178903468860,0,13017611460,165885857400,"9,383,486","2,749,827",38.1,"17,985","31,229","-13,244","472,642"
2007-02-27,937.3,"25,251",-31060676700,0,5529393470,25531283230,"9,459,136","2,719,602",38.08,"26,848","25,702","1,146","486,540"
2007-02-28,938.3,"32,051",-166422068340,0,473906715515,-307484647175,"9,736,895","2,642,022",37.96,"36,090","71,757","-35,667","503,769"
2007-03-02,940.9,"24,311",-44220779850,0,198666314650,-154445534800,"9,696,170","2,640,676",38.0,"28,655","23,815","4,840","516,715"
2007-03-05,942.2,"22,785",69442839380,0,209265086050,-278707925430,"9,485,713","2,565,029",37.93,"29,640","26,522","3,117","517,528"
2007-03-06,950,"22,282",174494390160,0,86342249700,-260836639860,"9,450,447","2,613,712",37.91,"26,104","15,966","10,138","530,145"
2007-03-07,948,"24,555",-71231135835,0,9416499450,61814636385,"9,282,527","2,630,922",37.96,"13,268","10,996","2,273","532,840"
2007-03-08,947,"28,024",282437872150,0,-6150321720,-276287550430,"9,140,734","2,648,379",37.87,"16,428","27,121","-10,693","545,715"
2007-03-09,948.2,"22,337",-79336620385,0,36689115035,42647505350,"9,140,505","2,651,882",37.92,"18,518","19,423",-905,"554,253"
2007-03-12,946.6,"23,958",10845298616,0,-78832148445,67986849829,"9,155,389","2,693,553",38.03,"21,082","28,601","-7,519","560,055"
2007-03-13,944.2,"25,095",-108972595775,0,52274604450,56697991325,"9,169,264","2,683,224",38.03,"23,970","17,839","6,131","567,373"
2007-03-14,944.8,"25,553",67273039990,0,160257760440,-227530800430,"9,413,060","2,619,014",37.88,"15,542","17,815","-2,273","579,591"
2007-03-15,947.2,"25,037",192317147115,0,-26766040705,-165551106410,"9,194,723","2,653,888",37.87,"21,024","23,521","-2,497","594,478"
2007-03-16,944.6,"29,505",53809761875,0,-19285980295,-34523781580,"9,059,397","2,652,570",37.82,"29,770","17,828","11,942","590,043"
2007-03-19,945,"27,647",261242769800,0,-73095811960,-188146957840,"9,129,082","2,677,841",37.78,"15,306","25,660","-10,354","602,696"
2007-03-20,943.3,"36,448",25829650795,0,-39696405995,13866755200,"9,332,449","2,682,164",37.82,"27,152","26,696",455,"612,377"
2007-03-21,942.6,"34,296",-22344400945,0,-14762344120,37106745065,"9,470,743","2,680,408",37.84,"18,629","30,521","-11,892","634,519"
2007-03-22,937.8,"29,305",85246984980,0,-152956128720,67709143740,"9,655,318","2,695,710",37.88,"7,590","13,540","-5,950","664,592"
2007-03-23,937.1,"27,073",6762639780,0,-80065274215,73302634435,"9,556,706","2,683,529",37.75,"18,795","41,516","-22,722","676,912"
2007-03-26,938.5,"30,680",59846756675,0,-98332743185,38485986510,"9,578,953","2,681,172",37.65,"18,378","23,247","-4,869","696,327"
2007-03-27,938.6,"25,563",125271740590,0,-87349547850,-37922192740,"9,697,792","2,688,390",37.67,"27,300","24,076","3,223","713,699"
2007-03-28,940.6,"29,278",-220138985455,0,166894128335,53244857120,"9,747,058","2,667,430",37.71,"34,556","36,558","-2,002","736,916"
2007-03-29,940.9,"27,676",48203198565,0,14214451415,-62417649980,"9,822,779","2,684,201",37.66,"36,752","28,931","7,821","764,928"
2007-03-30,940.3,"28,342",-201712840275,0,107808023150,93904817125,"9,909,658","2,687,708",37.68,"33,777","33,310",467,"798,858"
2007-04-02,940.8,"29,705",45056174080,0,60134117600,-105190291680,"9,961,943","2,697,036",37.62,"18,742","39,594","-20,852","827,584"
2007-04-03,938.8,"33,473",-194816502430,0,110980776170,83835726260,"9,934,565","2,706,629",37.64,"22,294","35,285","-12,992","864,518"
2007-04-04,936.8,"37,430",-183453085195,0,-226651209215,410104294410,"10,412,073","2,753,204",37.77,"20,409","32,577","-12,169","897,251"
2007-04-05,936,"32,351",-135238042218,0,-105002586210,240240628428,"9,909,907","2,746,883",37.7,"43,990","32,410","11,580","935,554"
2007-04-06,934.8,"30,685",-208122362465,0,28027685290,180094677175,"9,824,507","2,744,490",37.63,"20,609","20,166",442,"951,228"
