일자,유가증권신용거래융자
2021-04-01,"12,282,020"
2021-03-31,"12,309,180"
2021-03-30,"12,301,340"
2021-03-29,"12,325,627"
2021-03-26,"12,295,133"
2021-03-25,"12,243,516"
2021-03-24,"12,260,283"
2021-03-23,"12,183,423"
2021-03-22,"12,022,670"
2021-03-19,"11,958,213"
2021-03-18,"11,725,055"
2021-03-17,"11,679,650"
2021-03-16,"11,601,101"
2021-03-15,"11,619,610"
2021-03-12,"11,683,996"
2021-03-11,"11,775,990"
2021-03-10,"11,691,975"
2021-03-09,"11,755,693"
2021-03-08,"11,750,194"
2021-03-05,"11,621,989"
2021-03-04,"11,629,327"
2021-03-03,"11,675,755"
2021-03-02,"11,501,752"
2021-02-26,"11,438,232"
2021-02-25,"11,772,797"
2021-02-24,"11,873,145"
2021-02-23,"11,984,983"
2021-02-22,"12,014,999"
2021-02-19,"12,017,421"
2021-02-18,"11,765,052"
2021-02-17,"11,727,185"
2021-02-16,"11,657,095"
2021-02-15,"11,626,814"
2021-02-10,"11,612,796"
2021-02-09,"11,598,320"
2021-02-08,"11,603,990"
2021-02-05,"11,137,555"
2021-02-04,"10,636,204"
2021-02-03,"10,579,583"
2021-02-02,"10,422,508"
2021-02-01,"10,769,771"
2021-01-29,"10,995,791"
2021-01-28,"11,142,352"
2021-01-27,"11,205,593"
2021-01-26,"11,343,477"
2021-01-25,"11,369,969"
2021-01-22,"11,271,326"
2021-01-21,"10,977,889"
2021-01-20,"10,938,733"
2021-01-19,"11,039,067"
2021-01-18,"11,061,810"
2021-01-15,"11,033,406"
2021-01-14,"11,009,321"
2021-01-13,"10,755,824"
2021-01-12,"10,546,554"
2021-01-11,"10,370,667"
2021-01-08,"10,275,702"
2021-01-07,"10,131,926"
2021-01-06,"10,038,805"
2021-01-05,"9,819,434"
2021-01-04,"9,704,993"
2020-12-31,"9,612,222"
2020-12-30,"9,616,509"
2020-12-29,"9,633,490"
2020-12-28,"9,718,782"
2020-12-24,"9,766,850"
2020-12-23,"9,778,989"
2020-12-22,"9,819,962"
2020-12-21,"9,790,535"
2020-12-18,"9,821,231"
2020-12-17,"9,779,870"
2020-12-16,"9,761,707"
2020-12-15,"9,669,194"
2020-12-14,"9,614,375"
2020-12-11,"9,500,987"
2020-12-10,"9,443,662"
2020-12-09,"9,425,706"
2020-12-08,"9,354,462"
2020-12-07,"9,412,038"
2020-12-04,"9,384,700"
2020-12-03,"9,341,345"
2020-12-02,"9,303,999"
2020-12-01,"9,144,550"
2020-11-30,"9,072,684"
2020-11-27,"8,996,285"
2020-11-26,"8,961,411"
2020-11-25,"8,947,463"
2020-11-24,"8,894,901"
2020-11-23,"8,840,327"
2020-11-20,"8,742,485"
2020-11-19,"8,729,590"
2020-11-18,"8,716,094"
2020-11-17,"8,598,677"
2020-11-16,"8,588,365"
2020-11-13,"8,520,563"
2020-11-12,"8,558,568"
2020-11-11,"8,403,434"
2020-11-10,"8,331,880"
2020-11-09,"8,294,722"
2020-11-06,"8,342,160"
2020-11-05,"8,261,745"
2020-11-04,"8,263,877"
2020-11-03,"8,316,579"
2020-11-02,"8,304,168"
2020-10-30,"8,196,845"
2020-10-29,"8,169,019"
2020-10-28,"8,213,740"
2020-10-27,"8,280,291"
2020-10-26,"8,285,910"
2020-10-23,"8,290,387"
2020-10-22,"8,250,315"
2020-10-21,"8,301,852"
2020-10-20,"8,384,223"
2020-10-19,"8,465,206"
2020-10-16,"8,534,413"
2020-10-15,"8,524,655"
2020-10-14,"8,497,169"
2020-10-13,"8,438,455"
2020-10-12,"8,345,772"
2020-10-08,"8,252,884"
2020-10-07,"8,218,684"
2020-10-06,"8,173,863"
2020-10-05,"8,127,818"
2020-09-29,"8,130,867"
2020-09-28,"8,278,141"
2020-09-25,"8,495,000"
2020-09-24,"8,593,285"
2020-09-23,"8,635,684"
2020-09-22,"8,800,586"
2020-09-21,"8,809,995"
2020-09-18,"8,864,810"
2020-09-17,"8,911,459"
2020-09-16,"8,843,568"
2020-09-15,"8,765,831"
2020-09-14,"8,739,381"
2020-09-11,"8,698,199"
2020-09-10,"8,618,706"
2020-09-09,"8,540,578"
2020-09-08,"8,470,106"
2020-09-07,"8,441,476"
2020-09-04,"8,339,386"
2020-09-03,"8,272,257"
2020-09-02,"8,196,804"
2020-09-01,"7,965,359"
2020-08-31,"7,905,165"
2020-08-28,"7,886,560"
2020-08-27,"7,770,529"
2020-08-26,"7,686,737"
2020-08-25,"7,641,320"
2020-08-24,"7,712,160"
2020-08-21,"7,710,580"
2020-08-20,"7,685,747"
2020-08-19,"7,852,596"
2020-08-18,"7,774,092"
2020-08-14,"7,674,329"
2020-08-13,"7,602,319"
2020-08-12,"7,504,874"
2020-08-11,"7,339,907"
2020-08-10,"7,211,608"
2020-08-07,"7,160,223"
2020-08-06,"7,010,331"
2020-08-05,"6,917,019"
2020-08-04,"6,841,859"
2020-08-03,"6,789,876"
2020-07-31,"6,771,467"
2020-07-30,"6,735,070"
2020-07-29,"6,697,553"
2020-07-28,"6,685,312"
2020-07-27,"6,726,623"
2020-07-24,"6,742,179"
2020-07-23,"6,656,111"
2020-07-22,"6,595,837"
2020-07-21,"6,529,115"
2020-07-20,"6,470,721"
2020-07-17,"6,454,866"
2020-07-16,"6,454,911"
2020-07-15,"6,400,605"
2020-07-14,"6,375,530"
2020-07-13,"6,316,662"
2020-07-10,"6,244,345"
2020-07-09,"6,181,832"
2020-07-08,"6,145,781"
2020-07-07,"6,073,997"
2020-07-06,"6,055,296"
2020-07-03,"6,075,167"
2020-07-02,"6,101,548"
2020-07-01,"6,085,328"
2020-06-30,"6,076,065"
2020-06-29,"6,108,030"
2020-06-26,"6,022,139"
2020-06-25,"5,973,351"
2020-06-24,"5,907,243"
2020-06-23,"5,839,087"
2020-06-22,"5,792,974"
2020-06-19,"5,728,395"
2020-06-18,"5,609,864"
2020-06-17,"5,621,144"
2020-06-16,"5,665,639"
2020-06-15,"5,629,068"
2020-06-12,"5,488,142"
2020-06-11,"5,462,319"
2020-06-10,"5,359,046"
2020-06-09,"5,274,149"
2020-06-08,"5,214,633"
2020-06-05,"5,204,555"
2020-06-04,"5,195,804"
2020-06-03,"5,143,636"
2020-06-02,"5,132,557"
2020-06-01,"5,097,836"
2020-05-29,"5,098,097"
2020-05-28,"5,049,512"
2020-05-27,"5,006,717"
2020-05-26,"4,988,712"
2020-05-25,"4,938,915"
2020-05-22,"4,876,718"
2020-05-21,"4,856,053"
2020-05-20,"4,907,866"
2020-05-19,"4,885,114"
2020-05-18,"4,844,962"
2020-05-15,"4,778,023"
2020-05-14,"4,741,597"
2020-05-13,"4,662,897"
2020-05-12,"4,601,329"
2020-05-11,"4,600,257"
2020-05-08,"4,563,522"
2020-05-07,"4,530,159"
2020-05-06,"4,401,936"
2020-05-04,"4,433,182"
2020-04-29,"4,404,068"
2020-04-28,"4,392,990"
2020-04-27,"4,355,786"
2020-04-24,"4,332,268"
2020-04-23,"4,253,828"
2020-04-22,"4,179,004"
2020-04-21,"4,127,843"
2020-04-20,"4,071,625"
2020-04-17,"3,972,464"
2020-04-16,"3,955,720"
2020-04-14,"3,898,863"
2020-04-13,"3,829,387"
2020-04-10,"3,733,604"
2020-04-09,"3,639,332"
2020-04-08,"3,623,878"
2020-04-07,"3,583,672"
2020-04-06,"3,558,211"
2020-04-03,"3,498,367"
2020-04-02,"3,394,622"
2020-04-01,"3,267,548"
2020-03-31,"3,177,419"
2020-03-30,"3,162,910"
2020-03-27,"3,075,317"
2020-03-26,"3,087,901"
2020-03-25,"3,094,150"
2020-03-24,"3,109,784"
2020-03-23,"3,261,445"
2020-03-20,"3,611,615"
2020-03-19,"3,765,934"
2020-03-18,"3,861,952"
2020-03-17,"4,004,707"
2020-03-16,"4,335,190"
2020-03-13,"4,515,814"
2020-03-12,"4,562,258"
2020-03-11,"4,551,238"
2020-03-10,"4,564,823"
2020-03-09,"4,535,825"
2020-03-06,"4,520,719"
2020-03-05,"4,503,827"
2020-03-04,"4,490,105"
2020-03-03,"4,476,958"
2020-03-02,"4,577,856"
2020-02-28,"4,638,838"
2020-02-27,"4,584,084"
2020-02-26,"4,558,505"
2020-02-25,"4,596,876"
2020-02-24,"4,628,986"
2020-02-21,"4,630,141"
2020-02-20,"4,646,824"
2020-02-19,"4,609,629"
2020-02-18,"4,573,679"
2020-02-17,"4,572,985"
2020-02-14,"4,568,265"
2020-02-13,"4,557,718"
2020-02-12,"4,553,515"
2020-02-11,"4,505,514"
2020-02-10,"4,433,371"
2020-02-07,"4,476,895"
2020-02-06,"4,427,494"
2020-02-05,"4,407,226"
2020-02-04,"4,420,757"
2020-02-03,"4,456,013"
2020-01-31,"4,478,932"
2020-01-30,"4,491,672"
2020-01-29,"4,453,538"
2020-01-28,"4,414,481"
2020-01-23,"4,398,996"
2020-01-22,"4,394,250"
2020-01-21,"4,390,841"
2020-01-20,"4,379,350"
2020-01-17,"4,317,402"
2020-01-16,"4,277,367"
2020-01-15,"4,262,453"
2020-01-14,"4,228,913"
2020-01-13,"4,194,931"
2020-01-10,"4,201,428"
2020-01-09,"4,202,096"
2020-01-08,"4,211,678"
2020-01-07,"4,191,505"
2020-01-06,"4,162,646"
2020-01-03,"4,080,601"
2020-01-02,"4,061,820"
2019-12-31,"4,052,361"
2019-12-30,"4,054,522"
2019-12-27,"4,040,789"
2019-12-26,"4,045,785"
2019-12-24,"4,060,742"
2019-12-23,"4,085,645"
2019-12-20,"4,103,733"
2019-12-19,"4,080,345"
2019-12-18,"4,070,838"
2019-12-17,"4,069,163"
2019-12-16,"4,093,147"
2019-12-13,"4,135,569"
2019-12-12,"4,116,813"
2019-12-11,"4,126,897"
2019-12-10,"4,119,981"
2019-12-09,"4,152,353"
2019-12-06,"4,177,890"
2019-12-05,"4,163,309"
2019-12-04,"4,175,384"
2019-12-03,"4,188,339"
2019-12-02,"4,162,279"
2019-11-29,"4,153,904"
2019-11-28,"4,142,343"
2019-11-27,"4,105,176"
2019-11-26,"4,128,072"
2019-11-25,"4,163,948"
2019-11-22,"4,181,524"
2019-11-21,"4,176,215"
2019-11-20,"4,177,320"
2019-11-19,"4,148,798"
2019-11-18,"4,188,843"
2019-11-15,"4,195,864"
2019-11-14,"4,166,038"
2019-11-13,"4,153,035"
2019-11-12,"4,110,386"
2019-11-11,"4,105,232"
2019-11-08,"4,072,080"
2019-11-07,"4,055,996"
2019-11-06,"4,056,690"
2019-11-05,"4,070,574"
2019-11-04,"4,055,022"
2019-11-01,"4,037,535"
2019-10-31,"4,017,381"
2019-10-30,"4,005,076"
2019-10-29,"4,014,682"
2019-10-28,"4,029,438"
2019-10-25,"4,052,862"
2019-10-24,"4,006,546"
2019-10-23,"4,031,643"
2019-10-22,"4,021,429"
2019-10-21,"4,008,826"
2019-10-18,"3,997,255"
2019-10-17,"3,995,624"
2019-10-16,"3,963,905"
2019-10-15,"3,959,240"
