date,외국인_시가총액,외국인 비중
2021-04-01,"7,762,202",36.08
2021-03-31,"7,665,142",35.93
2021-03-30,"7,708,537",36.03
2021-03-29,"7,618,895",35.99
2021-03-26,"7,635,318",36.02
2021-03-25,"7,566,661",36.08
2021-03-24,"7,547,252",36.13
2021-03-23,"7,581,484",36.27
2021-03-22,"7,653,974",36.26
2021-03-19,"7,659,956",36.25
2021-03-18,"7,749,667",36.35
2021-03-16,"7,743,657",36.56
2021-03-15,"7,696,401",36.59
2021-03-12,"7,731,060",36.66
2021-03-11,"7,645,867",36.74
2021-03-10,"7,495,607",36.68
2021-03-09,"7,535,798",36.65
2021-03-08,"7,580,982",36.64
2021-03-05,"7,630,406",36.52
2021-03-04,"7,672,542",36.53
2021-03-03,"7,795,013",36.64
2021-03-02,"7,700,823",36.66
2021-02-26,"7,600,888",36.55
2021-02-25,"7,865,010",36.77
2021-02-24,"7,578,243",36.65
2021-02-23,"7,708,854",36.38
2021-02-22,"7,728,211",36.35
2021-02-19,"7,805,743",36.38
2021-02-18,"7,736,370",36.32
2021-02-17,"7,872,367",36.4
2021-02-16,"7,981,034",36.54
2021-02-15,"7,930,963",36.51
2021-02-10,"7,766,004",36.29
2021-02-09,"7,731,605",36.31
2021-02-08,"7,750,136",36.34
2021-02-05,"7,831,372",36.35
2021-02-04,"7,733,816",36.3
2021-02-03,"7,861,385",36.42
2021-02-02,"7,780,511",36.46
2021-02-01,"7,662,103",36.4
2021-01-29,"7,494,638",36.54
2021-01-28,"7,722,149",36.5
2021-01-27,"7,873,540",36.57
2021-01-26,"7,939,097",36.66
2021-01-25,"8,169,871",36.93
2021-01-22,"7,967,632",36.79
2021-01-21,"8,028,954",36.85
2021-01-20,"7,912,381",36.86
2021-01-19,"7,868,147",36.91
2021-01-18,"7,662,859",36.89
2021-01-15,"7,854,239",36.91
2021-01-14,"8,022,435",36.96
2021-01-13,"8,020,384",36.97
2021-01-12,"7,979,071",37.01
2021-01-11,"8,051,282",37.08
2021-01-08,"8,002,401",36.87
2021-01-07,"7,599,186",36.42
2021-01-06,"7,446,007",36.43
2021-01-05,"7,526,920",36.54
2021-01-04,"7,427,369",36.61
2020-12-30,"7,230,674",36.51
2020-12-29,"7,072,576",36.38
2020-12-28,"7,087,488",36.56
2020-12-23,"6,888,913",36.23
2020-12-22,"6,777,592",36.02
2020-12-21,"6,874,334",35.96
2020-12-18,"6,868,989",36.01
2020-12-17,"6,893,680",36.16
2020-12-16,"6,917,487",36.26
2020-12-15,"6,893,798",36.33
