날짜,기관합계,기타법인,개인,외국인합계
2003-01-02 00:00:00,-204418716730 ,0 ,210383632430 ,-5964915700 
2003-01-03 00:00:00,-344322299035 ,0 ,90388017875 ,253934281160 
2003-01-06 00:00:00,-131673921320 ,0 ,-21813777570 ,153487698890 
2003-01-07 00:00:00,-158982740690 ,0 ,25901917115 ,133080823575 
2003-01-08 00:00:00,-30871532580 ,0 ,18403065280 ,12468467300 
2003-01-09 00:00:00,-178537610390 ,0 ,515227021370 ,-336689410980 
2003-01-10 00:00:00,34855926160 ,0 ,-86700482660 ,51844556500 
2003-01-13 00:00:00,109036251225 ,0 ,-88492815080 ,-20543436145 
2003-01-14 00:00:00,-85818941335 ,0 ,3465742670 ,82353198665 
2003-01-15 00:00:00,-175087450150 ,0 ,51740884250 ,123346565900 
2003-01-16 00:00:00,55253448595 ,0 ,-64286492395 ,9033043800 
2003-01-17 00:00:00,-36948526930 ,0 ,-4262050195 ,41210577125 
2003-01-20 00:00:00,29189219560 ,0 ,6337983800 ,-35527203360 
2003-01-21 00:00:00,-80815877540 ,0 ,85868355440 ,-5052477900 
2003-01-22 00:00:00,-43850826775 ,0 ,51620802325 ,-7769975550 
2003-01-23 00:00:00,149541451550 ,0 ,-24551027920 ,-124990423630 
2003-01-24 00:00:00,-32217594525 ,0 ,-65415420825 ,97633015350 
2003-01-27 00:00:00,-97470693910 ,0 ,137794001450 ,-40323307540 
2003-01-28 00:00:00,2972456250 ,0 ,10435346810 ,-13407803060 
2003-01-29 00:00:00,-117144240710 ,0 ,145462307660 ,-28318066950 
2003-01-30 00:00:00,-20652682690 ,0 ,42515857715 ,-21863175025 
2003-02-03 00:00:00,45561554220 ,0 ,3334880730 ,-48896434950 
2003-02-04 00:00:00,-16044504780 ,0 ,-23062640220 ,39107145000 
2003-02-05 00:00:00,52475822280 ,0 ,-18729475190 ,-33746347090 
2003-02-06 00:00:00,-22531794820 ,0 ,43977858320 ,-21446063500 
2003-02-07 00:00:00,-7494119150 ,0 ,144304570940 ,-136810451790 
2003-02-10 00:00:00,50321356800 ,0 ,-72384283270 ,22062926470 
2003-02-11 00:00:00,3445792350 ,0 ,2548785870 ,-5994578220 
2003-02-12 00:00:00,8305757155 ,0 ,-33990872535 ,25685115380 
2003-02-13 00:00:00,48431795660 ,0 ,-9549726540 ,-38882069120 
2003-02-14 00:00:00,70671601990 ,0 ,36726311930 ,-107397913920 
2003-02-17 00:00:00,52424653710 ,0 ,-66724171800 ,14299518090 
2003-02-18 00:00:00,130547783615 ,0 ,-125020751115 ,-5527032500 
2003-02-19 00:00:00,3471995320 ,0 ,-101808474445 ,98336479125 
2003-02-20 00:00:00,137687578680 ,0 ,-25679595780 ,-112007982900 
2003-02-21 00:00:00,-94142844600 ,0 ,4186001250 ,89956843350 
2003-02-24 00:00:00,242707422015 ,0 ,-134187910190 ,-108519511825 
2003-02-25 00:00:00,21992864425 ,0 ,124500758225 ,-146493622650 
2003-02-26 00:00:00,-38932099540 ,0 ,115252279190 ,-76320179650 
2003-02-27 00:00:00,-49992399530 ,0 ,89736959030 ,-39744559500 
2003-02-28 00:00:00,-18488910270 ,0 ,72740828420 ,-54251918150 
2003-03-03 00:00:00,58465466190 ,0 ,-65335688285 ,6870222095 
2003-03-04 00:00:00,-51133502450 ,0 ,63206693150 ,-12073190700 
2003-03-05 00:00:00,37127229585 ,0 ,-31883998915 ,-5243230670 
2003-03-06 00:00:00,50170031290 ,0 ,16157236760 ,-66327268050 
2003-03-07 00:00:00,108626035710 ,0 ,-33882853510 ,-74743182200 
2003-03-10 00:00:00,18012811070 ,0 ,-28932664970 ,10919853900 
2003-03-11 00:00:00,90653179830 ,0 ,-3319261680 ,-87333918150 
2003-03-12 00:00:00,4482803200 ,0 ,80555863970 ,-85038667170 
2003-03-13 00:00:00,-54630784850 ,0 ,118483476110 ,-63852691260 
2003-03-14 00:00:00,-142102398215 ,0 ,151690913775 ,-9588515560 
2003-03-17 00:00:00,87473319850 ,0 ,-25555019250 ,-61918300600 
2003-03-18 00:00:00,115825859590 ,0 ,-67628914930 ,-48196944660 
2003-03-19 00:00:00,551037615 ,0 ,-23136327815 ,22585290200 
2003-03-20 00:00:00,-134030776715 ,0 ,103753446865 ,30277329850 
2003-03-21 00:00:00,48408388575 ,0 ,-63072042530 ,14663653955 
2003-03-24 00:00:00,30587199265 ,0 ,-50545529690 ,19958330425 
2003-03-25 00:00:00,207333454225 ,0 ,-209533913175 ,2200458950 
2003-03-26 00:00:00,22423993820 ,0 ,41428225470 ,-63852219290 
2003-03-27 00:00:00,-67612068280 ,0 ,64203302780 ,3408765500 
2003-03-28 00:00:00,43863008405 ,0 ,61166385645 ,-105029394050 
2003-03-31 00:00:00,-72140307090 ,0 ,216608858510 ,-144468551420 
2003-04-01 00:00:00,-80235534340 ,0 ,270988747190 ,-190753212850 
2003-04-02 00:00:00,101351899980 ,0 ,42577855790 ,-143929755770 
2003-04-03 00:00:00,29721680075 ,0 ,28889901215 ,-58611581290 
2003-04-04 00:00:00,185701437330 ,0 ,-109910196180 ,-75791241150 
2003-04-07 00:00:00,-6589269385 ,0 ,-10382313885 ,16971583270 
2003-04-08 00:00:00,59958143245 ,0 ,-125531288465 ,65573145220 
2003-04-09 00:00:00,-37285199280 ,0 ,91136258110 ,-53851058830 
2003-04-10 00:00:00,90486990315 ,0 ,-42294349570 ,-48192640745 
2003-04-11 00:00:00,208923465350 ,0 ,-134746109100 ,-74177356250 
2003-04-14 00:00:00,79423283295 ,0 ,-22171057410 ,-57252225885 
2003-04-15 00:00:00,36215855595 ,0 ,-86589471445 ,50373615850 
2003-04-16 00:00:00,13154076205 ,0 ,-155871173825 ,142717097620 
2003-04-17 00:00:00,15655863375 ,0 ,10785218570 ,-26441081945 
2003-04-18 00:00:00,91594926805 ,0 ,-134191491795 ,42596564990 
2003-04-21 00:00:00,-17831642530 ,0 ,45795532610 ,-27963890080 
2003-04-22 00:00:00,-246040341060 ,0 ,271231662660 ,-25191321600 
2003-04-23 00:00:00,38447737090 ,0 ,47299642960 ,-85747380050 
2003-04-24 00:00:00,-49036519260 ,0 ,176287865640 ,-127251346380 
2003-04-25 00:00:00,-65156453735 ,0 ,181645279735 ,-116488826000 
2003-04-28 00:00:00,95378565990 ,0 ,46708764130 ,-142087330120 
2003-04-29 00:00:00,109712545190 ,0 ,-152349826290 ,42637281100 
