date,È¯À²
2003-01-01,
2003-01-02,"1,187.80"
2003-01-03,"1,190.50"
2003-01-04,"1,196.10"
2003-01-05,
2003-01-06,"1,196.10"
2003-01-07,"1,191.60"
2003-01-08,"1,187.20"
2003-01-09,"1,188.60"
2003-01-10,"1,179.50"
2003-01-11,"1,180.30"
2003-01-12,
2003-01-13,"1,180.30"
2003-01-14,"1,177.00"
2003-01-15,"1,176.50"
2003-01-16,"1,173.70"
2003-01-17,"1,173.40"
2003-01-18,"1,173.60"
2003-01-19,
2003-01-20,"1,173.60"
2003-01-21,"1,174.20"
2003-01-22,"1,177.20"
2003-01-23,"1,175.60"
2003-01-24,"1,178.20"
2003-01-25,"1,171.90"
2003-01-26,
2003-01-27,"1,171.90"
2003-01-28,"1,170.40"
2003-01-29,"1,170.90"
2003-01-30,"1,170.50"
2003-01-31,
2003-02-01,
2003-02-02,
2003-02-03,"1,170.90"
2003-02-04,"1,177.60"
2003-02-05,"1,179.80"
2003-02-06,"1,174.10"
2003-02-07,"1,177.10"
2003-02-08,"1,179.90"
2003-02-09,
2003-02-10,"1,179.90"
2003-02-11,"1,192.80"
2003-02-12,"1,207.80"
2003-02-13,"1,202.90"
2003-02-14,"1,202.70"
2003-02-15,"1,201.40"
2003-02-16,
2003-02-17,"1,201.40"
2003-02-18,"1,207.20"
2003-02-19,"1,202.40"
2003-02-20,"1,198.40"
2003-02-21,"1,196.40"
2003-02-22,"1,194.10"
2003-02-23,
2003-02-24,"1,194.10"
2003-02-25,"1,192.60"
2003-02-26,"1,191.10"
2003-02-27,"1,187.70"
2003-02-28,"1,186.80"
2003-03-01,
2003-03-02,
2003-03-03,"1,190.30"
2003-03-04,"1,194.30"
2003-03-05,"1,193.20"
2003-03-06,"1,194.90"
2003-03-07,"1,208.10"
2003-03-08,"1,218.00"
2003-03-09,
2003-03-10,"1,218.00"
2003-03-11,"1,229.10"
2003-03-12,"1,236.70"
2003-03-13,"1,237.30"
2003-03-14,"1,247.90"
2003-03-15,"1,241.00"
2003-03-16,
2003-03-17,"1,241.00"
2003-03-18,"1,241.60"
2003-03-19,"1,249.60"
2003-03-20,"1,255.60"
2003-03-21,"1,253.80"
2003-03-22,"1,249.60"
2003-03-23,
